ques_id,language,ques,ansTitle,ansContent,translation,translation_title,ques_translation
8502,EN,Received a phishing mail?,Phishing Mail warning ,"This is a phishing mail. You should delete it. If you clicked on the link and filled in your credentials, it is absolutely necessary to change the password immediately.Tips for changing the password are found here:https://www1.ethz.ch/id/servicedesk/guide/change_pw/index_EN","This is a phishing mail. You should delete it. If you clicked on the link and filled in your credentials, it is absolutely necessary to change the password immediately.Tips for changing the password are found here:https://www1.ethz.ch/id/servicedesk/guide/change_pw/index_EN",Phishing Mail warning ,Received a phishing mail?
8503,EN,Lockout on Account ,My account is locked ,"You had a lockout on your account because you tipped in the password wrong. Maybe you have saved a wrong password on your system (Mailclient, networkdrive). The lockout is now removed and you should be able to login again.","You had a lockout on your account because you tipped in the password wrong. Maybe you have saved a wrong password on your system (Mailclient, networkdrive). The lockout is now removed and you should be able to login again.",My account is locked ,Lockout on Account 
8506,EN,Blocking mailsender,Block a mailsender ,You can add the sender on your personal blacklist. The following steps are required for this: Login on the pagehttp://www.password.ethz.chClick on meine Services/ E-Mail SpamfilterNow add the address in the field blacklist.,You can add the sender on your personal blacklist. The following steps are required for this: Login on the pagehttp://www.password.ethz.chClick on meine Services/ E-Mail SpamfilterNow add the address in the field blacklist.,Block a mailsender ,Blocking mailsender
8509,EN,Credit overdrawn,I can't print anymore ,Your credit is 6.90.- in minus. You have to load your account if you want to print. You can do that on the web with creditcard:http://www.password.ethz.ch-> meine Services -> Creditor in a VPP office (Hönggerberg: HIL C36.1 or Zentrum: HG D 48.2).,Your credit is 6.90.- in minus. You have to load your account if you want to print. You can do that on the web with creditcard:http://www.password.ethz.ch-> meine Services -> Creditor in a VPP office (Hönggerberg: HIL C36.1 or Zentrum: HG D 48.2).,I can't print anymore ,Credit overdrawn
8509,EN,Credit overdrawn,Why is my account in minus ,The reason why your account is minus is the following.  The amount (or the free sites) will be deducted from your account after the print job is finished. So we can prevent that you have to pay when the printjob is not finished. But we can't check if you have enough credit on your account for the printing job that you want to do. That's why it is possible that your account is in minus. You have two possibilities to charge your account :Via creditcard overhttp://www.passwort.ethz.ch-> meine Services -> Prepaid.WIth money a one of the VPP desks: Hönggerberg: HIL C36.1 Zentrum: HG D 48.2,The reason why your account is minus is the following.  The amount (or the free sites) will be deducted from your account after the print job is finished. So we can prevent that you have to pay when the printjob is not finished. But we can't check if you have enough credit on your account for the printing job that you want to do. That's why it is possible that your account is in minus. You have two possibilities to charge your account :Via creditcard overhttp://www.passwort.ethz.ch-> meine Services -> Prepaid.WIth money a one of the VPP desks: Hönggerberg: HIL C36.1 Zentrum: HG D 48.2,Why is my account in minus ,Credit overdrawn
8528,EN,Reset NAS permissions,Reset NAS permissions ,I've reset your permissions. Can you please try it again?,I've reset your permissions. Can you please try it again?,Reset NAS permissions ,Reset NAS permissions
8511,EN,Settings for VPN,VPN settings of the ETH ,The settings for the ETH VPN are as follows:Server: sslvpn.ethz.chDecryption-typ: ipsec-pskUsername: Your ETH-UsernamePassword: Your passwordGroupname: ETHZ-spezialGrouppassword: This information you can find on this page:https://www1.ethz.ch/id/servicedesk/guide/vpn/vpn_secret,The settings for the ETH VPN are as follows:Server: sslvpn.ethz.chDecryption-typ: ipsec-pskUsername: Your ETH-UsernamePassword: Your passwordGroupname: ETHZ-spezialGrouppassword: This information you can find on this page:https://www1.ethz.ch/id/servicedesk/guide/vpn/vpn_secret,VPN settings of the ETH ,Settings for VPN
8507,EN,Mail blocked mistakenly,Mail blocked mistakenly ,You can add the sender on your personal whitelist. The following steps are required for this:Login on the pagehttp://www.password.ethz.chClick on meine Services/ E-Mail Spamfilter.Now add the address in the field whitelist.,You can add the sender on your personal whitelist. The following steps are required for this:Login on the pagehttp://www.password.ethz.chClick on meine Services/ E-Mail Spamfilter.Now add the address in the field whitelist.,Mail blocked mistakenly ,Mail blocked mistakenly
8511,EN,Settings for VPN,Installation VPN Client ,You can find all the informations for the VPN client installation on this webpage:https://www1.ethz.ch/id/servicedesk/guide/vpn/index,You can find all the informations for the VPN client installation on this webpage:https://www1.ethz.ch/id/servicedesk/guide/vpn/index,Installation VPN Client ,Settings for VPN
8532,EN,How can I install software from IDES?,Software installation from IDES ,"Please download first all software local  to your computer with ""Map network drive"", the computer must be on the  ETH Network, if not please start the VPN Client before. Then start the  installation from your computer.Here you will find the instructions:VPNMap network drive to IDESIf the password from IDES will not accepted, please go to the webpage from ideshttp://www.ides.ethz.chand login, go to ""Voreinstellungen"" and click on ""Passwort ändern"" and  set again your nethz-password and try again to map a network drive.","Please download first all software local  to your computer with ""Map network drive"", the computer must be on the  ETH Network, if not please start the VPN Client before. Then start the  installation from your computer.Here you will find the instructions:VPNMap network drive to IDESIf the password from IDES will not accepted, please go to the webpage from ideshttp://www.ides.ethz.chand login, go to ""Voreinstellungen"" and click on ""Passwort ändern"" and  set again your nethz-password and try again to map a network drive.",Software installation from IDES ,How can I install software from IDES?
